gauge_id,gauge_lat,gauge_lon,geometry,index_right,STATE_NAME
1013500.0,47.23739,-68.58264,POINT (-68.58264 47.23739),17,Maine
1022500.0,44.60797,-67.93524,POINT (-67.93524 44.60797),17,Maine
1030500.0,45.50097,-68.30596,POINT (-68.30596 45.50097),17,Maine
1031500.0,45.17501,-69.3147,POINT (-69.3147 45.17501),17,Maine
1047000.0,44.8692,-69.9551,POINT (-69.9551 44.8692),17,Maine
1052500.0,44.87739,-71.05749,POINT (-71.05749 44.87739),27,New Hampshire
1054200.0,44.39044,-70.97964,POINT (-70.97964 44.39044),17,Maine
1055000.0,44.64275,-70.58878,POINT (-70.58878 44.64275),17,Maine
1057000.0,44.30399,-70.53968,POINT (-70.53968 44.30399),17,Maine
1073000.0,43.1487,-70.96506,POINT (-70.96506 43.1487),27,New Hampshire
1078000.0,43.56646,-71.74786,POINT (-71.74786 43.56646),27,New Hampshire
1118300.0,41.47482,-71.83424,POINT (-71.83424 41.47482),5,Connecticut
1121000.0,41.84371,-72.16897,POINT (-72.16897 41.84371),5,Connecticut
1123000.0,41.67177,-72.0523,POINT (-72.0523 41.67177),5,Connecticut
1134500.0,44.51172,-71.83731,POINT (-71.83731 44.51172),43,Vermont
1137500.0,44.26867,-71.63036,POINT (-71.63036 44.26867),27,New Hampshire
1139000.0,44.15034,-72.06509,POINT (-72.06509 44.15034),43,Vermont
1139800.0,44.09284,-72.33565,POINT (-72.33565 44.09284),43,Vermont
1142500.0,43.93451,-72.65788,POINT (-72.65788 43.93451),43,Vermont
1144000.0,43.71424,-72.41815,POINT (-72.41815 43.71424),43,Vermont
1162500.0,42.68259,-72.11508,POINT (-72.11508 42.68259),19,Massachusetts
1169000.0,42.63842,-72.72509,POINT (-72.72509 42.63842),19,Massachusetts
1170100.0,42.70342,-72.67065,POINT (-72.67065 42.70342),19,Massachusetts
1181000.0,42.23731,-72.89565,POINT (-72.89565 42.23731),19,Massachusetts
1187300.0,42.03732,-72.93899,POINT (-72.93899 42.03732),5,Connecticut
1195100.0,41.30593,-72.5312,POINT (-72.5312 41.30593),5,Connecticut
1333000.0,42.70897,-73.19677,POINT (-73.19677 42.70897),19,Massachusetts
1350000.0,42.31953,-74.43654,POINT (-74.43654 42.31953),30,New York
1350080.0,42.37703,-74.41292,POINT (-74.41292 42.37703),30,New York
1350140.0,42.42897,-74.47293,POINT (-74.47293 42.42897),30,New York
1365000.0,41.86648,-74.4871,POINT (-74.4871 41.86648),30,New York
1411300.0,39.30694,-74.82056,POINT (-74.82056 39.30694),28,New Jersey
1413500.0,42.14481,-74.65349,POINT (-74.65349 42.14481),30,New York
1414500.0,42.1062,-74.73043,POINT (-74.73043 42.1062),30,New York
1415000.0,42.12009,-74.81849,POINT (-74.81849 42.12009),30,New York
